id,timestamp,x,y
0,0,190,352
0,30,191,351
0,30,191,352
0,61,191,353
0,61,192,353
0,299,191,353
0,329,192,353
0,360,192,352
0,389,192,353
0,480,192,352
0,480,192,353
0,510,192,352
0,510,192,353
0,570,192,354
0,599,192,353
0,600,192,353
0,629,193,354
0,629,193,354
0,690,193,354
0,720,193,354
0,720,192,354
0,751,192,354
0,751,192,354
0,780,192,354
0,780,193,354
0,808,193,354
0,840,193,354
0,840,193,354
0,870,193,354
0,870,193,354
0,899,192,354
0,899,192,353
0,929,193,353
0,929,192,353
0,960,192,353
0,960,192,353
0,990,192,353
0,990,192,353
0,1019,192,353
0,1049,191,353
0,1049,190,352
0,1080,190,352
0,1080,189,352
0,1109,189,351
0,1109,188,351
0,1140,186,350
0,1140,186,350
0,1169,185,349
0,1200,185,348
0,1200,184,347
0,1260,183,346
0,1260,182,345
0,1260,181,344
0,1260,181,343
0,1290,180,342
0,1290,179,341
0,1320,178,339
0,1320,177,338
0,1350,177,336
0,1350,176,336
0,1379,176,334
0,1410,174,333
0,1410,175,331
0,1440,174,330
0,1440,174,328
0,1469,173,327
0,1469,173,326
0,1529,173,324
0,1530,172,323
0,1530,172,321
0,1530,171,319
0,1559,170,317
0,1559,170,315
0,1589,169,313
0,1620,168,311
0,1620,168,309
0,1650,167,307
0,1650,167,305
0,1680,166,303
0,1680,166,301
0,1710,165,298
0,1710,164,296
0,1740,163,293
0,1740,163,291
0,1769,163,289
0,1770,163,286
0,1800,162,284
0,1800,162,283
0,1829,162,280
0,1860,161,278
0,1860,161,275
0,1889,162,272
0,1889,161,269
0,1921,161,266
0,1921,161,264
0,1950,160,261
0,1981,160,258
0,1981,160,257
0,2011,161,254
0,2011,161,251
0,2040,161,248
0,2040,161,245
0,2069,161,242
0,2069,161,239
0,2100,162,235
0,2100,162,232
0,2129,164,230
0,2159,164,227
0,2159,164,223
0,2190,165,220
0,2190,166,217
0,2220,166,214
0,2220,167,211
0,2250,168,208
0,2250,169,205
0,2279,171,202
0,2279,172,199
0,2310,173,196
0,2310,174,193
0,2339,175,190
0,2370,176,188
0,2370,177,185
0,2399,178,182
0,2399,179,180
0,2429,180,177
0,2429,182,175
0,2460,183,172
0,2460,184,170
0,2489,185,168
0,2489,186,165
0,2520,188,163
0,2520,190,161
0,2578,191,159
0,2580,192,158
0,2580,192,155
0,2609,193,154
0,2609,194,153
0,2639,196,151
0,2639,196,150
0,2669,197,148
0,2669,198,147
0,2699,199,146
0,2699,200,144
0,2729,201,144
0,2760,202,143
0,2760,202,142
0,2789,203,141
0,2789,204,140
0,2820,205,139
0,2820,206,139
0,2850,206,138
0,2850,206,137
0,2879,207,137
0,2879,208,136
0,2909,208,135
0,2940,209,135
0,2940,209,134
0,2999,210,133
0,2999,210,133
0,3029,210,133
0,3059,210,133
0,3089,210,133
0,3119,210,133
0,3150,210,133
0,3180,210,133
0,3210,210,133
0,3210,210,133
0,3240,210,133
0,3269,210,133
0,3298,210,133
0,3450,210,133
0,3450,210,133
0,3540,210,133
0,3540,210,133
0,3569,210,133
1,1,305,369
1,30,305,369
1,30,305,368
1,60,305,368
1,90,305,368
1,90,305,368
1,119,304,367
1,150,304,368
1,150,304,368
1,179,304,368
1,179,303,369
1,209,303,369
1,210,303,369
1,270,303,369
1,270,303,368
1,299,303,368
1,330,303,368
1,330,303,368
1,361,303,368
1,361,303,368
1,390,303,368
1,390,303,368
1,449,303,368
1,479,303,368
1,541,303,368
1,541,303,368
1,541,303,368
1,569,303,368
1,599,303,368
1,660,303,368
1,690,303,368
1,690,303,368
1,720,303,368
1,752,303,368
1,779,303,368
1,780,303,368
1,840,303,368
1,870,303,368
1,899,303,368
1,900,303,368
1,930,303,368
1,960,303,368
1,1020,303,368
1,1020,303,368
1,1049,303,368
1,1049,303,368
1,1079,303,368
1,1109,303,368
1,1139,303,368
1,1169,303,368
1,1200,303,368
1,1231,303,368
1,1231,303,368
1,1260,303,368
1,1290,303,368
1,1319,303,368
1,1320,303,368
1,1320,303,368
1,1350,303,368
1,1380,303,368
1,1380,303,368
1,1410,303,368
1,1440,303,368
1,1440,303,368
1,1470,303,368
1,1470,303,368
1,1500,303,368
1,1530,303,368
1,1530,303,369
1,1590,303,368
1,1590,303,368
1,1590,303,369
1,1619,303,368
1,1649,303,368
1,1650,303,368
1,1679,303,368
1,1710,303,368
1,1740,303,368
1,1769,303,369
1,1770,303,369
1,1800,303,369
1,1800,303,369
1,1830,303,369
1,1860,302,369
1,1860,303,369
1,1920,302,369
1,1950,303,369
1,1950,302,369
1,1979,303,369
1,1979,302,369
1,2009,302,369
1,2009,302,369
1,2039,302,369
1,2039,303,368
1,2069,303,368
1,2069,304,367
1,2100,303,367
1,2100,305,366
1,2130,304,366
1,2130,305,365
1,2159,305,365
1,2190,306,364
1,2190,306,364
1,2219,305,363
1,2249,307,362
1,2250,307,362
1,2280,308,361
1,2280,308,360
1,2309,309,360
1,2339,308,359
1,2340,310,358
1,2370,309,358
1,2370,311,357
1,2400,310,356
1,2400,310,355
1,2430,311,354
1,2430,312,353
1,2460,312,352
1,2460,313,351
1,2490,314,350
1,2490,314,349
1,2519,315,348
1,2550,316,347
1,2550,316,345
1,2579,317,344
1,2579,317,343
1,2639,318,342
1,2639,318,341
1,2640,319,340
1,2640,319,339
1,2670,320,338
1,2670,320,337
1,2700,320,336
1,2700,321,334
1,2730,321,332
1,2760,322,331
1,2790,323,329
1,2790,324,327
1,2790,324,325
1,2819,325,323
1,2820,326,321
1,2850,327,319
1,2850,328,317
1,2880,329,315
1,2880,329,312
1,2909,330,310
1,2909,331,309
1,2940,332,306
1,2940,333,304
1,2969,332,302
1,3000,333,300
1,3000,334,298
1,3031,335,296
1,3031,336,294
1,3060,336,291
1,3060,337,289
1,3089,338,287
1,3089,339,284
1,3120,339,282
1,3120,340,280
1,3150,340,277
1,3150,341,275
1,3180,340,272
1,3180,341,271
1,3209,341,267
1,3240,341,265
1,3240,342,263
1,3270,342,260
1,3270,343,257
1,3307,343,255
1,3307,343,252
1,3330,344,249
1,3360,344,246
1,3360,344,243
1,3360,344,239
1,3389,344,236
1,3420,344,232
1,3420,344,229
1,3450,343,226
1,3450,343,223
1,3479,342,219
1,3479,342,216
1,3509,342,212
1,3509,342,209
1,3540,341,206
1,3569,341,203
1,3569,339,199
1,3600,339,196
1,3600,338,193
1,3629,338,190
1,3630,337,187
1,3689,336,184
1,3689,336,181
1,3689,335,178
1,3690,333,175
1,3719,332,172
1,3749,331,170
1,3749,330,167
1,3779,329,163
1,3779,328,160
1,3809,327,158
1,3809,325,155
1,3839,323,152
1,3839,322,150
1,3869,321,147
1,3870,321,145
1,3900,320,142
1,3930,319,140
1,3930,317,138
1,3960,315,136
1,3960,316,134
1,3990,313,132
1,3990,312,130
1,4019,311,129
1,4019,311,127
1,4049,310,126
1,4049,310,125
1,4078,309,124
1,4110,309,124
1,4110,309,123
1,4199,308,123
1,4230,309,123
1,4259,307,123
1,4290,309,123
1,4290,309,123
1,4319,309,123
1,4349,309,123
1,4349,309,123
1,4409,309,123
1,4438,309,123
1,4439,309,123
1,4468,309,123
1,4498,309,123
1,4530,309,123
1,4560,309,123
1,4560,308,123
1,4588,309,123
1,4619,309,123
1,4651,309,123
1,4651,308,123
1,4685,309,123
1,4686,309,123
1,4740,308,123
